XML_ID;DETAIL;MORE;
26af3fdc-b177-11de-b5a5-002197d362b4;SYNCRO;UPDATE;
26af3fe4-b177-11de-b5a5-002197d362b4;SYNCRO;UPDATE;
27495aae-3915-11e6-8401-d067e5f9e4b1;SYNCRO;UPDATE;
27495ad6-3915-11e6-8401-d067e5f9e4b1;1 >> 2;UPDATE;
2761c358-a861-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
2761c36c-a861-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
2761c381-a861-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
2761c38d-a861-11e4-ad56-002618a8d26d;SYNCRO;UPDATE;
27718961-dcde-11e4-b7f0-002618a8d26d;SYNCRO;SYNCRO;
2794e848-c614-11df-946d-005056c00008;SYNCRO;UPDATE;
27960a09-4ac3-11e4-aea7-002618a8d26d;SYNCRO;SYNCRO;
27b128b3-03a6-11e2-b5d7-002618a8d26d;SYNCRO;UPDATE;
27c236d0-1c01-11e1-b8e8-002618a8d26d;SYNCRO;SYNCRO;
27c236e4-1c01-11e1-b8e8-002618a8d26d;SYNCRO;SYNCRO;
27c236fd-1c01-11e1-b8e8-002618a8d26d;1 << 2;SYNCRO;
27c236ff-1c01-11e1-b8e8-002618a8d26d;SYNCRO;UPDATE;
27c2370b-1c01-11e1-b8e8-002618a8d26d;SYNCRO;SYNCRO;
27d77d5b-60da-11e0-8816-002618a8d26d;SYNCRO;UPDATE;
27d77d5d-60da-11e0-8816-002618a8d26d;SYNCRO;UPDATE;
27dd4c70-234b-11e2-b5d7-002618a8d26d;SYNCRO;SYNCRO;
27ff1f7a-180f-11e6-a256-d067e5f9e4b1;1 >> 2;UPDATE;
27ff1f8f-180f-11e6-a256-d067e5f9e4b1;SYNCRO;UPDATE;
286d6e87-7c61-11e5-a176-002618a8d26d;SYNCRO;SYNCRO;
286d6e9a-7c61-11e5-a176-002618a8d26d;SYNCRO;UPDATE;
286d6ea0-7c61-11e5-a176-002618a8d26d;SYNCRO;SYNCRO;
2875b120-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b122-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b124-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b126-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b128-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b12a-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b12c-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b12e-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
2875b130-3065-11e5-a37e-002618a8d26d;SYNCRO;UPDATE;
